name,category,subcategory,address,city,country,latitude,longitude,accepts_dogs,accepts_cats,dogs_on_leash_only,outdoor_seating,water_bowl_provided,has_toilets,has_shade,has_dog_area,has_fuel,rating,description,verified,source
Aire de service,station_carburant,autoroute,,,France,50.7040911,6.0873058,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,TRUE,4.0,Aire de service avec carburant.,TRUE,osm
Aire de Hellebecq,station_carburant,autoroute,,,France,50.6836288,3.8977487,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,TRUE,4.0,Aire de service avec carburant.,TRUE,osm
Aire de service,station_carburant,autoroute,,,France,50.6720393,5.691522,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,TRUE,4.0,Aire de service avec carburant.,TRUE,osm
Aire de Tignée,station_carburant,autoroute,,,France,50.6547145,5.7089726,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,TRUE,4.0,Aire de service avec carburant.,TRUE,osm
Autohof Dachsberg,station_carburant,autoroute,,Bad Honnef,France,50.6482544,7.3347116,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,TRUE,4.0,Aire de service avec carburant. (Bad Honnef),TRUE,osm
Aire du Barœul,station_carburant,autoroute,,,France,50.6480531,3.0990228,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,TRUE,4.0,Aire de service avec carburant.,TRUE,osm
Aire de service,station_carburant,autoroute,,,France,50.6478963,5.7985205,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,TRUE,4.0,Aire de service avec carburant.,TRUE,osm
Aire de service,station_carburant,autoroute,,,France,50.6461491,5.8271822,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,TRUE,4.0,Aire de service avec carburant.,TRUE,osm
MAXI Autohof Mücke,station_carburant,autoroute,,Mücke,France,50.6459028,8.9887553,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,TRUE,4.0,Aire de service avec carburant. (Mücke),TRUE,osm
Aire de Froyennes,station_carburant,autoroute,,,France,50.619327,3.3400931,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,TRUE,4.0,Aire de service avec carburant.,TRUE,osm
Aire d'Orival Total Nivelles,station_carburant,autoroute,,,France,50.6153452,4.3001175,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,TRUE,4.0,Aire de service avec carburant.,TRUE,osm
Aire de service,station_carburant,autoroute,,,France,50.602338,2.9425935,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,TRUE,4.0,Aire de service avec carburant.,TRUE,osm
Aire d'Aische-en-Refail,station_carburant,autoroute,,,France,50.5997631,4.7912413,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,TRUE,4.0,Aire de service avec carburant.,TRUE,osm
Fernthal West,station_carburant,autoroute,,,France,50.5989936,7.4349421,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,TRUE,4.0,Aire de service avec carburant.,TRUE,osm
Aire de service,station_carburant,autoroute,,,France,50.5968277,5.620487,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,TRUE,4.0,Aire de service avec carburant.,TRUE,osm
Aire de Verlaine Nord,station_carburant,autoroute,,,France,50.593879,5.3027957,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,TRUE,4.0,Aire de service avec carburant.,TRUE,osm
Aire de Verlaine Sud,station_carburant,autoroute,,,France,50.5916297,5.3032084,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,TRUE,4.0,Aire de service avec carburant.,TRUE,osm
Aire de Saint-Hilaire-Cottes,station_carburant,autoroute,,,France,50.5723978,2.3799502,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,TRUE,4.0,Aire de service avec carburant.,TRUE,osm
Aire de Rely,station_carburant,autoroute,,,France,50.5723931,2.378163,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,TRUE,4.0,Aire de service avec carburant.,TRUE,osm
Urbacher Wald,station_carburant,autoroute,,,France,50.5477441,7.5849588,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,TRUE,4.0,Aire de service avec carburant.,TRUE,osm
Aire de service,station_carburant,autoroute,,,France,50.5400911,3.0733498,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,TRUE,4.0,Aire de service avec carburant.,TRUE,osm
