name,category,subcategory,address,city,country,latitude,longitude,accepts_dogs,accepts_cats,dogs_on_leash_only,outdoor_seating,water_bowl_provided,rating,description,verified,source,opening_hours
Station 2 Val d'Anast,station_carburant,,2 rue du querpon,Val d'Anast,France,47.894,-1.99,true,false,true,false,false,,"⛽ Diesel, SP95. 🚗 Lavage  💳 CB 24h/24. (35330 Val d'Anast)",true,prix_carburants_gouv,Ouvert 24h/24
Station CD6 Bouc-Bel-Air,station_carburant,,CD6,Bouc-Bel-Air,France,43.441455,5.434099,true,false,true,false,false,,"⛽ Diesel, E85, E10, SP98. 🚻 Toilettes  🛒 Boutique  🔧 Gonflage  🚗 Lavage auto. (13320 Bouc-Bel-Air)",true,prix_carburants_gouv,
Station RUE Espalion,station_carburant,,RUE ANTOINE FANGUIN,Espalion,France,44.524,2.766,true,false,true,false,false,,"⛽ Diesel, E10, SP98. 🔧 Gonflage  🚗 Lavage auto  🚗 Lavage  🔵 Gaz. (12500 Espalion)",true,prix_carburants_gouv,Ouvert 24h/24
Station 334 Thiais,station_carburant,,334 THAIS SUD C.C Belle Epine,Thiais,France,48.755,2.375,true,false,true,false,false,,"⛽ Diesel, E85, GPL, E10, SP98. 🛒 Boutique  🛒 Boutique  🔧 Gonflage  🚗 Lavage auto. (94651 Thiais)",true,prix_carburants_gouv,
Station RN Vitrimont,station_carburant,,RN 333,Vitrimont,France,48.591,6.426,true,false,true,false,false,,"⛽ Diesel, GPL, E10, SP98. 🚻 Toilettes  🛒 Boutique  🛒 Boutique  🍽️ Restauration. (54300 Vitrimont)",true,prix_carburants_gouv,
Station Le Belleville-en-Beaujolais,station_carburant,,Le Pré de la Cloche,Belleville-en-Beaujolais,France,46.104,4.747,true,false,true,false,false,,"⛽ Diesel, E85, GPL, E10, SP98. 🛒 Boutique  🔧 Gonflage  🚗 Lavage auto  🔵 Gaz. (69220 Belleville-en-Beaujolais)",true,prix_carburants_gouv,Ouvert 24h/24
Station ZAC Rebais,station_carburant,,ZAC PRE ANCEL,Rebais,France,48.84615,3.23114,true,false,true,false,false,,"⛽ Diesel, SP95, SP98. 💳 DAB. (77510 Rebais)",true,prix_carburants_gouv,
Station Route Saint-Sauveur-en-Puisaye,station_carburant,,Route de Ouanne,Saint-Sauveur-en-Puisaye,France,47.62,3.198,true,false,true,false,false,,"⛽ Diesel, SP95, SP98. 💳 CB 24h/24. (89520 Saint-Sauveur-en-Puisaye)",true,prix_carburants_gouv,Ouvert 24h/24
Station Rue Pleugriffet,station_carburant,,Rue du Chanoine Martin,Pleugriffet,France,47.99,-2.708,true,false,true,false,false,,"⛽ Diesel, E10, SP98. 🔧 Gonflage  🚗 Lavage auto  🔵 Gaz  💳 CB 24h/24. (56500 Pleugriffet)",true,prix_carburants_gouv,Ouvert 24h/24
Station Boulevard Saint-Martin-des-Champs,station_carburant,,Boulevard René Fily,Saint-Martin-des-Champs,France,48.572601,-3.849845,true,false,true,false,false,,"⛽ Diesel, GPL, E10, SP98. 🔧 Gonflage  🔵 Gaz  💳 CB 24h/24. (29600 Saint-Martin-des-Champs)",true,prix_carburants_gouv,Ouvert 24h/24
Station 77 Châtenay-Malabry,station_carburant,,77 Avenue Ãdouard Depreux,Châtenay-Malabry,France,48.774,2.28,true,false,true,false,false,,"⛽ Diesel, E10, SP98. 🛒 Boutique  🛒 Boutique  🔧 Gonflage  🚗 Lavage auto. (92330 Châtenay-Malabry)",true,prix_carburants_gouv,"Lun 06.00-21.00, Mar 06.00-21.00, Mer 06.00-21.00"
Station AVENUE Sartrouville,station_carburant,,AVENUE ROBERT SHUMANN,Sartrouville,France,48.948,2.198,true,false,true,false,false,,"⛽ Diesel, SP95, E85, E10, SP98. 🔧 Gonflage  💳 CB 24h/24. (78500 Sartrouville)",true,prix_carburants_gouv,Ouvert 24h/24
Station Rue Picauville,station_carburant,,Rue de la Libération,Picauville,France,49.381,-1.415,true,false,true,false,false,,"⛽ Diesel, SP95. 🚻 Toilettes  🛒 Boutique  🔵 Gaz  💳 CB 24h/24. (50360 Picauville)",true,prix_carburants_gouv,Ouvert 24h/24
Station 1187 Escatalens,station_carburant,,1187 Route de Toulouse,Escatalens,France,43.986,1.194,true,false,true,false,false,,"⛽ Diesel, E10, SP98. 🔧 Gonflage  🚗 Lavage auto  🚗 Lavage  💳 DAB. (82700 Escatalens)",true,prix_carburants_gouv,
